"Time","Press","Flow","OAI","CAI","HI","SI","FL","RERA","CSR","LVT","VT","MV","IE","RR","SPOP2","PR","End"
2025-2-14 22:30:13,188,95,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 22:31:13,186,97,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 22:32:13,184,96,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 22:33:13,182,96,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 22:34:13,180,95,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 22:35:13,178,96,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 22:36:13,176,94,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 22:37:13,174,93,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 22:38:13,172,95,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 22:39:13,170,93,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 22:40:13,168,94,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 22:41:13,166,95,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 22:42:13,164,94,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 22:43:13,162,94,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 22:44:13,160,95,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 22:45:13,158,94,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
